instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_seconds_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,result_walksat,runtime_seconds_walksat,ratio_dpll,ratio_walksat,var_diff,clause_diff,var_ratio,clause_ratio,vars_times_clauses_dpll,clause_density_dpll,vars_times_clauses_walksat,clause_density_walksat,is_sudoku,is_random3sat,best_solver_actual
random3sat_bulk49.cnf,DPLL,100.0,300.0,0.0,SAT,WalkSAT_Optimized,100.0,300.0,SAT,0.0054,2.99999997,2.99999997,0.0,0.0,0.9999999900000002,0.9999999966666667,30000.0,2.99999997,30000.0,2.99999997,0,1,0
random3sat_bulk5.cnf,DPLL,90.0,250.0,0.001,SAT,WalkSAT_Optimized,90.0,250.0,SAT,0.0027,2.7777777469135807,2.7777777469135807,0.0,0.0,0.9999999888888891,0.999999996,22500.0,2.7777777469135807,22500.0,2.7777777469135807,0,1,0
random3sat_bulk51.cnf,DPLL,60.0,400.0,0.0,UNSAT,WalkSAT_Optimized,60.0,400.0,UNSAT,0.2803,6.666666555555557,6.666666555555557,0.0,0.0,0.9999999833333336,0.9999999975,24000.0,6.666666555555557,24000.0,6.666666555555557,0,1,0
random3sat_bulk53.cnf,DPLL,90.0,300.0,0.0015,SAT,WalkSAT_Optimized,90.0,300.0,SAT,0.0105,3.333333296296297,3.333333296296297,0.0,0.0,0.9999999888888891,0.9999999966666667,27000.0,3.333333296296297,27000.0,3.333333296296297,0,1,0
random3sat_bulk54.cnf,DPLL,70.0,200.0,0.0015,SAT,WalkSAT_Optimized,70.0,200.0,SAT,0.0019,2.8571428163265313,2.8571428163265313,0.0,0.0,0.9999999857142859,0.999999995,14000.0,2.8571428163265313,14000.0,2.8571428163265313,0,1,0
random3sat_bulk52.cnf,DPLL,50.0,350.0,0.001,UNSAT,WalkSAT_Optimized,50.0,350.0,UNSAT,0.2857,6.9999998600000035,6.9999998600000035,0.0,0.0,0.9999999800000005,0.9999999971428571,17500.0,6.9999998600000035,17500.0,6.9999998600000035,0,1,0
random3sat_bulk55.cnf,DPLL,50.0,400.0,0.001,UNSAT,WalkSAT_Optimized,50.0,400.0,UNSAT,0.3805,7.999999840000004,7.999999840000004,0.0,0.0,0.9999999800000005,0.9999999975,20000.0,7.999999840000004,20000.0,7.999999840000004,0,1,0
random3sat_bulk57.cnf,DPLL,60.0,250.0,0.001,UNSAT,WalkSAT_Optimized,60.0,250.0,UNSAT,0.1686,4.166666597222224,4.166666597222224,0.0,0.0,0.9999999833333336,0.999999996,15000.0,4.166666597222224,15000.0,4.166666597222224,0,1,0
random3sat_bulk59.cnf,DPLL,80.0,300.0,0.0005,SAT,WalkSAT_Optimized,80.0,300.0,SAT,0.005,3.7499999531250006,3.7499999531250006,0.0,0.0,0.9999999875000002,0.9999999966666667,24000.0,3.7499999531250006,24000.0,3.7499999531250006,0,1,0
random3sat_bulk58.cnf,DPLL,50.0,350.0,0.0035,UNSAT,WalkSAT_Optimized,50.0,350.0,UNSAT,0.2995,6.9999998600000035,6.9999998600000035,0.0,0.0,0.9999999800000005,0.9999999971428571,17500.0,6.9999998600000035,17500.0,6.9999998600000035,0,1,0
