instance,solver,num_vars,num_clauses,result
random3sat_realistic_275.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_279.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_276.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_277.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_278.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_281.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_realistic_28.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_280.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_realistic_282.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_283.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_287.cnf,WalkSAT_Optimized,80,240,SAT
random3sat_realistic_286.cnf,WalkSAT_Optimized,70,210,UNSAT
random3sat_realistic_284.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_285.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_289.cnf,WalkSAT_Optimized,80,320,UNSAT
random3sat_realistic_29.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_288.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_290.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_291.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_292.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_296.cnf,WalkSAT_Optimized,70,210,SAT
random3sat_realistic_294.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_realistic_293.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_297.cnf,WalkSAT_Optimized,60,180,UNSAT
random3sat_realistic_295.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_298.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_3.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_299.cnf,WalkSAT_Optimized,80,480,UNSAT
random3sat_realistic_300.cnf,WalkSAT_Optimized,100,300,UNSAT
random3sat_realistic_301.cnf,WalkSAT_Optimized,90,270,UNSAT
random3sat_realistic_30.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_303.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_304.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_302.cnf,WalkSAT_Optimized,150,900,UNSAT
random3sat_realistic_305.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_306.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_307.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_31.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_308.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_realistic_309.cnf,WalkSAT_Optimized,70,420,UNSAT
random3sat_realistic_310.cnf,WalkSAT_Optimized,70,210,UNSAT
random3sat_realistic_312.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_311.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_313.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_314.cnf,WalkSAT_Optimized,150,750,UNSAT
random3sat_realistic_315.cnf,WalkSAT_Optimized,150,600,UNSAT
random3sat_realistic_316.cnf,WalkSAT_Optimized,80,320,UNSAT
random3sat_realistic_318.cnf,WalkSAT_Optimized,50,150,SAT
random3sat_realistic_317.cnf,WalkSAT_Optimized,80,320,UNSAT
random3sat_realistic_319.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_322.cnf,WalkSAT_Optimized,120,360,SAT
random3sat_realistic_32.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_321.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_320.cnf,WalkSAT_Optimized,100,600,UNSAT
random3sat_realistic_323.cnf,WalkSAT_Optimized,60,240,UNSAT
random3sat_realistic_324.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_325.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_329.cnf,WalkSAT_Optimized,60,180,SAT
random3sat_realistic_326.cnf,WalkSAT_Optimized,90,450,UNSAT
random3sat_realistic_327.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_328.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_realistic_330.cnf,WalkSAT_Optimized,120,360,UNSAT
random3sat_realistic_33.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_332.cnf,WalkSAT_Optimized,70,210,UNSAT
random3sat_realistic_331.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_333.cnf,WalkSAT_Optimized,100,500,UNSAT
random3sat_realistic_337.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_realistic_335.cnf,WalkSAT_Optimized,50,250,UNSAT
random3sat_realistic_334.cnf,WalkSAT_Optimized,120,720,UNSAT
random3sat_realistic_336.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_338.cnf,WalkSAT_Optimized,70,280,UNSAT
random3sat_realistic_339.cnf,WalkSAT_Optimized,90,360,UNSAT
random3sat_realistic_341.cnf,WalkSAT_Optimized,120,480,UNSAT
random3sat_realistic_340.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_realistic_34.cnf,WalkSAT_Optimized,90,540,UNSAT
random3sat_realistic_344.cnf,WalkSAT_Optimized,150,450,UNSAT
random3sat_realistic_342.cnf,WalkSAT_Optimized,60,360,UNSAT
random3sat_realistic_345.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_realistic_343.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_realistic_348.cnf,WalkSAT_Optimized,120,360,UNSAT
