instance,solver,num_vars,num_clauses,result,runtime_seconds
random3sat_realistic_227.cnf,WalkSAT_Optimized,90,270,SAT,0.0112
random3sat_realistic_221.cnf,WalkSAT_Optimized,120,720,UNSAT,0.3364
random3sat_realistic_229.cnf,WalkSAT_Optimized,90,270,SAT,0.0128
random3sat_realistic_223.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2679
random3sat_realistic_225.cnf,WalkSAT_Optimized,60,240,UNSAT,0.176
random3sat_realistic_228.cnf,WalkSAT_Optimized,90,360,UNSAT,0.158
random3sat_realistic_23.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2082
random3sat_realistic_232.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1437
random3sat_realistic_231.cnf,WalkSAT_Optimized,80,320,UNSAT,0.1952
random3sat_realistic_230.cnf,WalkSAT_Optimized,90,540,UNSAT,0.2697
random3sat_realistic_236.cnf,WalkSAT_Optimized,90,270,SAT,0.0179
random3sat_realistic_234.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1348
random3sat_realistic_235.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1789
random3sat_realistic_233.cnf,WalkSAT_Optimized,120,720,UNSAT,0.2997
random3sat_realistic_237.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2943
random3sat_realistic_239.cnf,WalkSAT_Optimized,60,240,UNSAT,0.181
random3sat_realistic_24.cnf,WalkSAT_Optimized,80,240,UNSAT,0.1481
random3sat_realistic_238.cnf,WalkSAT_Optimized,120,720,UNSAT,0.2802
random3sat_realistic_240.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1655
random3sat_realistic_241.cnf,WalkSAT_Optimized,100,300,UNSAT,0.1332
random3sat_realistic_242.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2518
random3sat_realistic_243.cnf,WalkSAT_Optimized,120,600,UNSAT,0.2428
random3sat_realistic_245.cnf,WalkSAT_Optimized,150,600,UNSAT,0.1825
random3sat_realistic_244.cnf,WalkSAT_Optimized,70,420,UNSAT,0.2718
random3sat_realistic_246.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1704
random3sat_realistic_248.cnf,WalkSAT_Optimized,100,500,UNSAT,0.2274
random3sat_realistic_247.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2646
random3sat_realistic_250.cnf,WalkSAT_Optimized,80,240,SAT,0.0272
random3sat_realistic_251.cnf,WalkSAT_Optimized,60,180,SAT,0.0315
random3sat_realistic_25.cnf,WalkSAT_Optimized,100,300,UNSAT,0.1444
random3sat_realistic_249.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2242
random3sat_realistic_254.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1199
random3sat_realistic_252.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1752
random3sat_realistic_256.cnf,WalkSAT_Optimized,120,360,SAT,0.0297
random3sat_realistic_253.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1813
random3sat_realistic_255.cnf,WalkSAT_Optimized,100,400,UNSAT,0.2025
random3sat_realistic_26.cnf,WalkSAT_Optimized,60,180,SAT,0.0088
random3sat_realistic_258.cnf,WalkSAT_Optimized,90,270,UNSAT,0.1233
random3sat_realistic_260.cnf,WalkSAT_Optimized,120,360,UNSAT,0.1286
random3sat_realistic_259.cnf,WalkSAT_Optimized,70,280,UNSAT,0.1719
random3sat_realistic_263.cnf,WalkSAT_Optimized,70,210,SAT,0.0147
random3sat_realistic_257.cnf,WalkSAT_Optimized,150,900,UNSAT,0.3044
random3sat_realistic_261.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2953
random3sat_realistic_264.cnf,WalkSAT_Optimized,70,420,UNSAT,0.2598
random3sat_realistic_262.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2863
random3sat_realistic_265.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2245
random3sat_realistic_267.cnf,WalkSAT_Optimized,60,180,UNSAT,0.1177
random3sat_realistic_266.cnf,WalkSAT_Optimized,150,600,UNSAT,0.1823
