instance,solver,num_vars,num_clauses,runtime_seconds,result
random3sat_realistic_324.cnf,DPLL,70,350,0.001,UNSAT
random3sat_realistic_325.cnf,DPLL,50,200,0.002,UNSAT
random3sat_realistic_323.cnf,DPLL,60,240,0.002,UNSAT
random3sat_realistic_328.cnf,DPLL,50,200,0.0025,UNSAT
random3sat_realistic_327.cnf,DPLL,90,360,0.0015,UNSAT
random3sat_realistic_329.cnf,DPLL,60,180,0.0025,SAT
random3sat_realistic_326.cnf,DPLL,90,450,0.0025,UNSAT
random3sat_realistic_33.cnf,DPLL,60,360,0.002,UNSAT

random3sat_realistic_331.cnf,DPLL,90,540,0.003,UNSAT
random3sat_realistic_332.cnf,DPLL,70,210,0.0055,UNSAT
random3sat_realistic_335.cnf,DPLL,50,250,0.0009,UNSAT
random3sat_realistic_333.cnf,DPLL,100,500,0.0019,UNSAT
random3sat_realistic_334.cnf,DPLL,120,720,0.004,UNSAT
random3sat_realistic_336.cnf,DPLL,90,360,0.002,UNSAT
random3sat_realistic_337.cnf,DPLL,100,300,0.002,SAT
random3sat_realistic_340.cnf,DPLL,70,350,0.0,UNSAT
random3sat_realistic_34.cnf,DPLL,90,540,0.001,UNSAT
random3sat_realistic_339.cnf,DPLL,90,360,0.001,UNSAT
random3sat_realistic_338.cnf,DPLL,70,280,0.004,UNSAT
random3sat_realistic_341.cnf,DPLL,120,480,0.002,UNSAT
random3sat_realistic_343.cnf,DPLL,60,300,0.001,UNSAT

random3sat_realistic_347.cnf,DPLL,70,350,0.002,UNSAT
random3sat_realistic_346.cnf,DPLL,80,480,0.001,UNSAT
random3sat_realistic_345.cnf,DPLL,100,300,0.002,SAT
random3sat_realistic_348.cnf,DPLL,120,360,0.0035,UNSAT
random3sat_realistic_349.cnf,DPLL,100,500,0.0,UNSAT
random3sat_realistic_35.cnf,DPLL,50,250,0.001,UNSAT
random3sat_realistic_350.cnf,DPLL,80,320,0.001,UNSAT
random3sat_realistic_352.cnf,DPLL,50,150,0.001,SAT
random3sat_realistic_351.cnf,DPLL,120,600,0.001,UNSAT
random3sat_realistic_353.cnf,DPLL,50,150,0.0,SAT
random3sat_realistic_354.cnf,DPLL,120,720,0.0035,UNSAT
random3sat_realistic_357.cnf,DPLL,50,250,0.001,UNSAT
random3sat_realistic_355.cnf,DPLL,60,360,0.001,UNSAT
random3sat_realistic_356.cnf,DPLL,60,300,0.002,UNSAT
random3sat_realistic_359.cnf,DPLL,50,150,0.001,SAT
random3sat_realistic_358.cnf,DPLL,70,350,0.002,UNSAT
random3sat_realistic_360.cnf,DPLL,50,300,0.001,UNSAT
random3sat_realistic_36.cnf,DPLL,60,300,0.002,UNSAT
random3sat_realistic_361.cnf,DPLL,60,180,0.0025,SAT
random3sat_realistic_362.cnf,DPLL,80,320,0.0025,UNSAT
random3sat_realistic_363.cnf,DPLL,70,280,0.002,UNSAT
random3sat_realistic_364.cnf,DPLL,80,400,0.001,UNSAT
random3sat_realistic_366.cnf,DPLL,60,360,0.004,UNSAT
random3sat_realistic_365.cnf,DPLL,90,540,0.003,UNSAT
random3sat_realistic_367.cnf,DPLL,50,200,0.002,UNSAT
random3sat_realistic_368.cnf,DPLL,70,420,0.001,UNSAT
random3sat_realistic_371.cnf,DPLL,50,150,0.0015,UNSAT
random3sat_realistic_370.cnf,DPLL,120,360,0.002,SAT
random3sat_realistic_37.cnf,DPLL,100,600,0.003,UNSAT
random3sat_realistic_372.cnf,DPLL,70,280,0.001,UNSAT
random3sat_realistic_373.cnf,DPLL,100,500,0.0025,UNSAT
random3sat_realistic_374.cnf,DPLL,60,360,0.0025,UNSAT
random3sat_realistic_376.cnf,DPLL,80,320,0.001,UNSAT
random3sat_realistic_375.cnf,DPLL,50,150,0.002,UNSAT
random3sat_realistic_377.cnf,DPLL,70,350,0.0045,UNSAT
random3sat_realistic_38.cnf,DPLL,60,180,0.001,UNSAT
random3sat_realistic_378.cnf,DPLL,150,450,0.004,UNSAT
random3sat_realistic_379.cnf,DPLL,60,360,0.001,UNSAT
random3sat_realistic_382.cnf,DPLL,120,720,0.001,UNSAT
random3sat_realistic_383.cnf,DPLL,100,500,0.0015,UNSAT
random3sat_realistic_381.cnf,DPLL,150,900,0.0035,UNSAT
random3sat_realistic_386.cnf,DPLL,70,420,0.001,UNSAT
random3sat_realistic_384.cnf,DPLL,120,360,0.001,SAT
random3sat_realistic_385.cnf,DPLL,120,480,0.002,UNSAT
random3sat_realistic_387.cnf,DPLL,60,360,0.002,UNSAT
random3sat_realistic_389.cnf,DPLL,90,540,0.002,UNSAT
random3sat_realistic_388.cnf,DPLL,150,450,0.002,UNSAT
random3sat_realistic_39.cnf,DPLL,80,400,0.0025,UNSAT
random3sat_realistic_391.cnf,DPLL,70,280,0.0,UNSAT
random3sat_realistic_390.cnf,DPLL,90,360,0.001,UNSAT
random3sat_realistic_392.cnf,DPLL,90,540,0.003,UNSAT
random3sat_realistic_395.cnf,DPLL,150,750,0.001,UNSAT
random3sat_realistic_393.cnf,DPLL,50,300,0.002,UNSAT
random3sat_realistic_394.cnf,DPLL,120,720,0.002,UNSAT
random3sat_realistic_397.cnf,DPLL,50,200,0.001,UNSAT
random3sat_realistic_396.cnf,DPLL,90,360,0.0025,UNSAT
